true_emotion,predicted_instead_or_extra,count,true_support,rate_within_true_label,rare_true_label
approval,neutral,163,999,0.16316316316316315,False
neutral,approval,114,2116,0.05387523629489603,False
neutral,annoyance,106,2116,0.0500945179584121,False
annoyance,neutral,100,670,0.14925373134328357,False
realization,neutral,95,462,0.20562770562770563,False
neutral,disapproval,91,2116,0.04300567107750473,False
neutral,confusion,82,2116,0.038752362948960305,False
approval,admiration,80,999,0.08008008008008008,False
neutral,curiosity,80,2116,0.03780718336483932,False
admiration,love,70,1026,0.0682261208576998,False
disappointment,neutral,69,414,0.16666666666666666,False
disapproval,neutral,68,632,0.10759493670886076,False
neutral,admiration,67,2116,0.03166351606805293,False
admiration,approval,62,1026,0.06042884990253411,False
realization,approval,60,462,0.12987012987012986,False
neutral,amusement,59,2116,0.027882797731568997,False
disapproval,annoyance,58,632,0.09177215189873418,False
neutral,disappointment,58,2116,0.027410207939508508,False
disgust,annoyance,57,291,0.1958762886597938,False
anger,annoyance,55,437,0.12585812356979406,False
annoyance,disapproval,55,670,0.08208955223880597,False
optimism,approval,54,454,0.11894273127753303,False
joy,amusement,54,461,0.11713665943600868,False
neutral,anger,53,2116,0.02504725897920605,False
neutral,caring,51,2116,0.024102079395085067,False
approval,disapproval,49,999,0.04904904904904905,False
approval,joy,49,999,0.04904904904904905,False
admiration,joy,48,1026,0.04678362573099415,False
excitement,admiration,46,310,0.14838709677419354,False
surprise,neutral,46,333,0.13813813813813813,False
sadness,remorse,46,386,0.11917098445595854,False
realization,confusion,46,462,0.09956709956709957,False
admiration,gratitude,46,1026,0.04483430799220273,False
annoyance,anger,44,670,0.06567164179104477,False
optimism,neutral,43,454,0.0947136563876652,False
admiration,neutral,42,1026,0.04093567251461988,False
disgust,anger,41,291,0.140893470790378,False
annoyance,confusion,41,670,0.06119402985074627,False
confusion,curiosity,40,416,0.09615384615384616,False
confusion,neutral,40,416,0.09615384615384616,False
joy,admiration,40,461,0.08676789587852494,False
neutral,disgust,40,2116,0.01890359168241966,False
anger,neutral,39,437,0.08924485125858124,False
disapproval,anger,38,632,0.060126582278481014,False
joy,love,37,461,0.08026030368763558,False
annoyance,disgust,37,670,0.05522388059701493,False
approval,amusement,37,999,0.037037037037037035,False
sadness,disappointment,36,386,0.09326424870466321,False
disappointment,disapproval,36,414,0.08695652173913043,False
realization,annoyance,36,462,0.07792207792207792,False
neutral,optimism,36,2116,0.017013232514177693,False
neutral,realization,36,2116,0.017013232514177693,False
disappointment,annoyance,35,414,0.08454106280193237,False
disapproval,confusion,35,632,0.055379746835443035,False
surprise,curiosity,34,333,0.1021021021021021,False
realization,disapproval,34,462,0.0735930735930736,False
approval,caring,34,999,0.03403403403403404,False
caring,neutral,33,306,0.10784313725490197,False
disapproval,approval,33,632,0.05221518987341772,False
annoyance,approval,33,670,0.049253731343283584,False
annoyance,curiosity,33,670,0.049253731343283584,False
annoyance,disappointment,33,670,0.049253731343283584,False
approval,gratitude,33,999,0.03303303303303303,False
admiration,excitement,33,1026,0.03216374269005848,False
joy,approval,32,461,0.06941431670281996,False
amusement,neutral,32,541,0.059149722735674676,False
curiosity,confusion,32,552,0.057971014492753624,False
gratitude,admiration,32,671,0.04769001490312966,False
approval,excitement,32,999,0.03203203203203203,False
neutral,love,32,2116,0.015122873345935728,False
love,admiration,31,479,0.06471816283924843,False
neutral,surprise,31,2116,0.014650283553875236,False
sadness,neutral,30,386,0.07772020725388601,False
curiosity,neutral,30,552,0.05434782608695652,False
disapproval,disappointment,30,632,0.04746835443037975,False
approval,curiosity,30,999,0.03003003003003003,False
approval,love,30,999,0.03003003003003003,False
disappointment,disgust,29,414,0.07004830917874397,False
disapproval,disgust,29,632,0.04588607594936709,False
admiration,amusement,29,1026,0.028265107212475632,False
surprise,confusion,28,333,0.08408408408408409,False
realization,disappointment,28,462,0.06060606060606061,False
neutral,sadness,28,2116,0.013232514177693762,False
caring,approval,27,306,0.08823529411764706,False
caring,optimism,27,306,0.08823529411764706,False
anger,disgust,27,437,0.06178489702517163,False
joy,neutral,27,461,0.05856832971800434,False
approval,annoyance,27,999,0.02702702702702703,False
approval,confusion,27,999,0.02702702702702703,False
excitement,joy,26,310,0.08387096774193549,False
optimism,admiration,26,454,0.05726872246696035,False
realization,curiosity,26,462,0.05627705627705628,False
approval,disappointment,26,999,0.026026026026026026,False
neutral,excitement,26,2116,0.012287334593572778,False
desire,neutral,25,184,0.1358695652173913,False
anger,disapproval,25,437,0.057208237986270026,False
approval,realization,25,999,0.025025025025025027,False
admiration,optimism,25,1026,0.024366471734892786,False
excitement,neutral,24,310,0.07741935483870968,False
confusion,approval,24,416,0.057692307692307696,False
gratitude,joy,24,671,0.03576751117734724,False
disgust,neutral,23,291,0.07903780068728522,False
optimism,caring,23,454,0.05066079295154185,False
joy,gratitude,23,461,0.049891540130151846,False
realization,amusement,23,462,0.049783549783549784,False
annoyance,amusement,23,670,0.034328358208955224,False
approval,optimism,23,999,0.023023023023023025,False
disgust,disapproval,22,291,0.07560137457044673,False
excitement,love,22,310,0.07096774193548387,False
sadness,annoyance,22,386,0.05699481865284974,False
disappointment,anger,22,414,0.05314009661835749,False
disappointment,approval,22,414,0.05314009661835749,False
anger,curiosity,22,437,0.05034324942791762,False
neutral,fear,22,2116,0.010396975425330813,False
nervousness,fear,21,105,0.2,True
desire,optimism,21,184,0.11413043478260869,False
disappointment,sadness,21,414,0.050724637681159424,False
joy,excitement,21,461,0.0455531453362256,False
neutral,joy,21,2116,0.00992438563327032,False
optimism,disapproval,20,454,0.04405286343612335,False
optimism,gratitude,20,454,0.04405286343612335,False
love,joy,20,479,0.04175365344467641,False
relief,approval,19,77,0.24675324675324675,True
fear,disgust,19,177,0.10734463276836158,False
disgust,disappointment,19,291,0.06529209621993128,False
confusion,realization,19,416,0.04567307692307692,False
optimism,desire,19,454,0.04185022026431718,False
realization,admiration,19,462,0.04112554112554113,False
disapproval,curiosity,19,632,0.030063291139240507,False
admiration,curiosity,19,1026,0.018518518518518517,False
excitement,curiosity,18,310,0.05806451612903226,False
amusement,admiration,18,541,0.033271719038817,False
annoyance,admiration,18,670,0.026865671641791045,False
admiration,caring,18,1026,0.017543859649122806,False
admiration,surprise,18,1026,0.017543859649122806,False
neutral,desire,18,2116,0.008506616257088847,False
surprise,excitement,17,333,0.05105105105105105,False
love,approval,17,479,0.03549060542797495,False
amusement,joy,17,541,0.031423290203327174,False
curiosity,surprise,17,552,0.030797101449275364,False
gratitude,approval,17,671,0.02533532041728763,False
approval,desire,17,999,0.01701701701701702,False
caring,joy,16,306,0.05228758169934641,False
excitement,amusement,16,310,0.05161290322580645,False
excitement,approval,16,310,0.05161290322580645,False
excitement,surprise,16,310,0.05161290322580645,False
surprise,admiration,16,333,0.04804804804804805,False
disappointment,confusion,16,414,0.03864734299516908,False
confusion,disapproval,16,416,0.038461538461538464,False
realization,gratitude,16,462,0.03463203463203463,False
realization,surprise,16,462,0.03463203463203463,False
approval,disgust,16,999,0.016016016016016016,False
embarrassment,disappointment,15,123,0.12195121951219512,True
embarrassment,disgust,15,123,0.12195121951219512,True
embarrassment,neutral,15,123,0.12195121951219512,True
caring,remorse,15,306,0.049019607843137254,False
surprise,realization,15,333,0.04504504504504504,False
anger,confusion,15,437,0.034324942791762014,False
optimism,confusion,15,454,0.03303964757709251,False
curiosity,admiration,15,552,0.02717391304347826,False
curiosity,annoyance,15,552,0.02717391304347826,False
relief,joy,14,77,0.18181818181818182,True
desire,approval,14,184,0.07608695652173914,False
optimism,curiosity,14,454,0.030837004405286344,False
optimism,love,14,454,0.030837004405286344,False
disapproval,admiration,14,632,0.022151898734177215,False
disapproval,surprise,14,632,0.022151898734177215,False
annoyance,fear,14,670,0.020895522388059702,False
gratitude,love,14,671,0.020864381520119227,False
pride,admiration,13,76,0.17105263157894737,True
pride,neutral,13,76,0.17105263157894737,True
excitement,gratitude,13,310,0.041935483870967745,False
sadness,anger,13,386,0.03367875647668394,False
sadness,approval,13,386,0.03367875647668394,False
disappointment,remorse,13,414,0.03140096618357488,False
confusion,annoyance,13,416,0.03125,False
anger,approval,13,437,0.029748283752860413,False
anger,caring,13,437,0.029748283752860413,False
anger,disappointment,13,437,0.029748283752860413,False
optimism,annoyance,13,454,0.028634361233480177,False
optimism,excitement,13,454,0.028634361233480177,False
joy,curiosity,13,461,0.028199566160520606,False
realization,caring,13,462,0.02813852813852814,False
realization,sadness,13,462,0.02813852813852814,False
disapproval,amusement,13,632,0.020569620253164556,False
annoyance,embarrassment,13,670,0.019402985074626865,False
annoyance,surprise,13,670,0.019402985074626865,False
gratitude,excitement,13,671,0.019374068554396422,False
pride,approval,12,76,0.15789473684210525,True
caring,admiration,12,306,0.0392156862745098,False
sadness,realization,12,386,0.031088082901554404,False
optimism,amusement,12,454,0.02643171806167401,False
optimism,disappointment,12,454,0.02643171806167401,False
optimism,joy,12,454,0.02643171806167401,False
curiosity,approval,12,552,0.021739130434782608,False
annoyance,gratitude,12,670,0.01791044776119403,False
gratitude,optimism,12,671,0.01788375558867362,False
gratitude,neutral,12,671,0.01788375558867362,False
approval,sadness,12,999,0.012012012012012012,False
neutral,gratitude,12,2116,0.005671077504725898,False
relief,gratitude,11,77,0.14285714285714285,True
embarrassment,remorse,11,123,0.08943089430894309,True
remorse,disappointment,11,131,0.08396946564885496,False
fear,sadness,11,177,0.062146892655367235,False
desire,caring,11,184,0.059782608695652176,False
caring,disapproval,11,306,0.03594771241830065,False
caring,love,11,306,0.03594771241830065,False
surprise,amusement,11,333,0.03303303303303303,False
surprise,approval,11,333,0.03303303303303303,False
sadness,amusement,11,386,0.02849740932642487,False
sadness,optimism,11,386,0.02849740932642487,False
disappointment,fear,11,414,0.026570048309178744,False
disappointment,realization,11,414,0.026570048309178744,False
anger,sadness,11,437,0.02517162471395881,False
love,curiosity,11,479,0.022964509394572025,False
love,gratitude,11,479,0.022964509394572025,False
amusement,annoyance,11,541,0.02033271719038817,False
curiosity,amusement,11,552,0.019927536231884056,False
curiosity,excitement,11,552,0.019927536231884056,False
disapproval,caring,11,632,0.01740506329113924,False
disapproval,sadness,11,632,0.01740506329113924,False
annoyance,realization,11,670,0.016417910447761194,False
annoyance,sadness,11,670,0.016417910447761194,False
gratitude,caring,11,671,0.01639344262295082,False
approval,anger,11,999,0.011011011011011011,False
approval,relief,11,999,0.011011011011011011,False
admiration,disappointment,11,1026,0.010721247563352826,False
neutral,embarrassment,11,2116,0.005198487712665407,False
nervousness,disappointment,10,105,0.09523809523809523,True
nervousness,neutral,10,105,0.09523809523809523,True
embarrassment,annoyance,10,123,0.08130081300813008,True
disgust,fear,10,291,0.03436426116838488,False
caring,annoyance,10,306,0.032679738562091505,False
caring,curiosity,10,306,0.032679738562091505,False
caring,sadness,10,306,0.032679738562091505,False
surprise,annoyance,10,333,0.03003003003003003,False
optimism,sadness,10,454,0.022026431718061675,False
realization,disgust,10,462,0.021645021645021644,False
realization,love,10,462,0.021645021645021644,False
love,amusement,10,479,0.020876826722338204,False
love,neutral,10,479,0.020876826722338204,False
curiosity,anger,10,552,0.018115942028985508,False
disapproval,gratitude,10,632,0.015822784810126583,False
admiration,realization,10,1026,0.009746588693957114,False
nervousness,disgust,9,105,0.08571428571428572,True
nervousness,sadness,9,105,0.08571428571428572,True
fear,disapproval,9,177,0.05084745762711865,False
caring,amusement,9,306,0.029411764705882353,False
caring,gratitude,9,306,0.029411764705882353,False
sadness,confusion,9,386,0.023316062176165803,False
sadness,disapproval,9,386,0.023316062176165803,False
disappointment,curiosity,9,414,0.021739130434782608,False
disappointment,surprise,9,414,0.021739130434782608,False
optimism,realization,9,454,0.019823788546255508,False
joy,optimism,9,461,0.019522776572668113,False
love,excitement,9,479,0.018789144050104383,False
amusement,approval,9,541,0.0166358595194085,False
amusement,curiosity,9,541,0.0166358595194085,False
amusement,excitement,9,541,0.0166358595194085,False
disapproval,love,9,632,0.014240506329113924,False
admiration,annoyance,9,1026,0.008771929824561403,False
admiration,disapproval,9,1026,0.008771929824561403,False
grief,sadness,8,40,0.2,True
relief,neutral,8,77,0.1038961038961039,True
nervousness,annoyance,8,105,0.0761904761904762,True
nervousness,confusion,8,105,0.0761904761904762,True
embarrassment,anger,8,123,0.06504065040650407,True
embarrassment,confusion,8,123,0.06504065040650407,True
sadness,curiosity,8,386,0.02072538860103627,False
disappointment,amusement,8,414,0.01932367149758454,False
confusion,surprise,8,416,0.019230769230769232,False
anger,love,8,437,0.018306636155606407,False
joy,annoyance,8,461,0.01735357917570499,False
joy,realization,8,461,0.01735357917570499,False
joy,surprise,8,461,0.01735357917570499,False
realization,embarrassment,8,462,0.017316017316017316,False
realization,joy,8,462,0.017316017316017316,False
realization,optimism,8,462,0.017316017316017316,False
realization,remorse,8,462,0.017316017316017316,False
curiosity,disgust,8,552,0.014492753623188406,False
curiosity,love,8,552,0.014492753623188406,False
curiosity,optimism,8,552,0.014492753623188406,False
disapproval,realization,8,632,0.012658227848101266,False
annoyance,love,8,670,0.011940298507462687,False
approval,remorse,8,999,0.008008008008008008,False
admiration,disgust,8,1026,0.007797270955165692,False
grief,neutral,7,40,0.175,True
relief,caring,7,77,0.09090909090909091,True
embarrassment,approval,7,123,0.056910569105691054,True
fear,disappointment,7,177,0.03954802259887006,False
desire,annoyance,7,184,0.03804347826086957,False
surprise,anger,7,333,0.021021021021021023,False
surprise,disapproval,7,333,0.021021021021021023,False
surprise,disgust,7,333,0.021021021021021023,False
sadness,disgust,7,386,0.018134715025906734,False
sadness,fear,7,386,0.018134715025906734,False
disappointment,desire,7,414,0.016908212560386472,False
confusion,anger,7,416,0.016826923076923076,False
anger,embarrassment,7,437,0.016018306636155607,False
anger,remorse,7,437,0.016018306636155607,False
anger,surprise,7,437,0.016018306636155607,False
realization,fear,7,462,0.015151515151515152,False
love,caring,7,479,0.014613778705636743,False
amusement,confusion,7,541,0.012939001848428836,False
amusement,gratitude,7,541,0.012939001848428836,False
amusement,surprise,7,541,0.012939001848428836,False
curiosity,disapproval,7,552,0.012681159420289856,False
disapproval,remorse,7,632,0.011075949367088608,False
annoyance,optimism,7,670,0.010447761194029851,False
gratitude,relief,7,671,0.010432190760059613,False
neutral,relief,7,2116,0.0033081285444234404,False
pride,optimism,6,76,0.07894736842105263,True
